Time,kx,ky,Amp
0,2,26,4.85E-24
0,3,26,1.84E-23
0,4,26,8.28E-24
0,5,26,1.62E-23
0,6,26,7.36E-24
0,7,26,6.89E-23
0,8,26,1.22E-24
0,9,26,6.88E-23
0,10,26,1.08E-23
0,11,26,2.22E-23
0,12,26,6.09E-24
0,13,26,1.43E-23
0,14,26,5.52E-24
0,15,26,6.69E-23
0,16,26,2.84E-24
0,17,26,9.18E-23
0,18,26,1.46E-24
0,19,26,2.64E-23
0,20,26,5.52E-24
0,21,26,2.68E-23
0,22,26,1.20E-23
0,23,26,1.04E-22
0,24,26,5.53E-24
0,25,26,8.19E-23
0,26,26,9.90E-24
0,27,26,7.50E-23
0,28,26,1.14E-23
0,29,26,3.10E-23
0,30,26,8.36E-24
0,31,26,1.36E-22
0,0,27,2.17E-23
0,1,27,6.82E-22
0,2,27,1.52E-23
0,3,27,6.07E-23
0,4,27,1.82E-23
0,5,27,5.86E-23
0,6,27,1.19E-23
0,7,27,9.66E-23
0,8,27,2.96E-23
0,9,27,6.44E-23
0,10,27,2.29E-23
0,11,27,4.48E-23
0,12,27,1.49E-23
0,13,27,6.42E-24
0,14,27,2.13E-23
0,15,27,1.64E-22
0,16,27,2.82E-23
0,17,27,1.50E-22
0,18,27,2.18E-23
0,19,27,4.63E-23
0,20,27,4.41E-24
0,21,27,1.10E-22
0,22,27,1.82E-23
0,23,27,3.20E-23
0,24,27,4.02E-23
0,25,27,5.42E-23
0,26,27,3.21E-23
0,27,27,7.86E-24
0,28,27,2.68E-23
0,29,27,3.80E-23
0,30,27,1.52E-23
0,31,27,4.71E-23
0,0,28,5.04E-24
0,1,28,2.55E-22
0,2,28,4.99E-24
0,3,28,6.95E-24
0,4,28,9.08E-24
0,5,28,1.15E-23
0,6,28,2.47E-24
0,7,28,3.39E-24
0,8,28,9.31E-24
0,9,28,1.69E-23
0,10,28,1.10E-23
0,11,28,3.91E-23
0,12,28,1.55E-24
0,13,28,4.25E-23
0,14,28,9.92E-24
0,15,28,7.56E-23
0,16,28,5.27E-24
0,17,28,7.27E-23
0,18,28,8.04E-24
0,19,28,2.42E-23
0,20,28,5.24E-24
